Word 1, Word 2, Frequency
choose, occasions, 2.0
occasions, for, 2.0
for, getting, 2.0
getting, a, 2.0
above, these, 2.0
these, lower, 2.0
lower, shadows, 2.0
shadows, but, 2.0
but, being, 2.0
all, times, 2.0
times, liable, 2.0
liable, to, 2.0
called, by, 2.0
by, his, 2.0
his, electric, 2.0
electric, bell, 2.0
and, at, 2.0
at, such, 2.0
such, times, 2.0
times, listening, 2.0
with, redoubled, 2.0
redoubled, anxiety, 2.0
anxiety, the, 2.0
relief, was, 2.0
was, less, 2.0
less, than, 2.0
would, suppose, 2.0
He, took, 2.0
took, me, 2.0
me, into, 2.0
into, his, 2.0
box, where, 2.0
where, there, 2.0
fire, a, 2.0
desk, for, 2.0
an, official, 2.0
official, book, 2.0
book, in, 2.0
make, certain, 2.0
certain, entries, 2.0
entries, a, 2.0
telegraphic, instrument, 2.0
instrument, with, 2.0
with, its, 2.0
its, dial, 2.0
dial, face, 2.0
and, needles, 2.0
needles, and, 2.0
bell, of, 2.0
had, spoken, 2.0
On, my, 2.0
my, trusting, 2.0
trusting, that, 2.0
would, excuse, 2.0
excuse, the, 2.0
been, well, 2.0
well, educated, 2.0
educated, and, 2.0
hoped, I, 2.0
I, might, 2.0
might, say, 2.0
say, without, 2.0
without, offence, 2.0
offence, perhaps, 2.0
perhaps, educated, 2.0
educated, above, 2.0
above, that, 2.0
that, station, 2.0
station, he, 2.0
he, observed, 2.0
observed, that, 2.0
that, instances, 2.0
instances, of, 2.0
of, slight, 2.0
slight, incongruity, 2.0
incongruity, in, 2.0
such, wise, 2.0
wise, would, 2.0
would, rarely, 2.0
rarely, be, 2.0
be, found, 2.0
found, wanting, 2.0
wanting, among, 2.0
among, large, 2.0
large, bodies, 2.0
bodies, of, 2.0
men, that, 2.0
had, heard, 2.0
in, workhouses, 2.0
workhouses, in, 2.0
police, force, 2.0
force, even, 2.0
even, in, 2.0
that, last, 2.0
last, desperate, 2.0
desperate, resource, 2.0
resource, the, 2.0
army, and, 2.0
he, knew, 2.0
knew, it, 2.0
so, more, 2.0
more, or, 2.0
or, less, 2.0
less, in, 2.0
any, great, 2.0
great, railway, 2.0
railway, staff, 2.0
when, young, 2.0
young, if, 2.0
could, believe, 2.0
believe, it, 2.0
it, sitting, 2.0
sitting, in, 2.0
that, hut,--he, 2.0
hut,--he, scarcely, 2.0
scarcely, could, 2.0
could, a, 2.0
student, of, 2.0
of, natural, 2.0
natural, philosophy, 2.0
philosophy, and, 2.0
had, attended, 2.0
attended, lectures, 2.0
lectures, but, 2.0
run, wild, 2.0
wild, misused, 2.0
misused, his, 2.0
his, opportunities, 2.0
opportunities, gone, 2.0
gone, down, 2.0
and, never, 2.0
never, risen, 2.0
risen, again, 2.0
no, complaint, 2.0
complaint, to, 2.0
offer, about, 2.0
about, that, 2.0
had, made, 2.0
made, his, 2.0
his, bed, 2.0
bed, and, 2.0
he, lay, 2.0
lay, upon, 2.0
was, far, 2.0
far, too, 2.0
too, late, 2.0
late, to, 2.0
make, another, 2.0
All, that, 2.0
have, here, 2.0
here, condensed, 2.0
condensed, he, 2.0
quiet, manner, 2.0
manner, with, 2.0
his, grave, 2.0
grave, dark, 2.0
dark, regards, 2.0
regards, divided, 2.0
divided, between, 2.0
between, me, 2.0
He, threw, 2.0
threw, in, 2.0
word, Sir, 2.0
Sir, from, 2.0
from, time, 2.0
to, time, 2.0
time, and, 2.0
and, especially, 2.0
especially, when, 2.0
he, referred, 2.0
referred, to, 2.0
his, youth,--as, 2.0
youth,--as, though, 2.0
though, to, 2.0
to, request, 2.0
request, me, 2.0
to, understand, 2.0
understand, that, 2.0
he, claimed, 2.0
claimed, to, 2.0
be, nothing, 2.0
nothing, but, 2.0
but, what, 2.0
found, him, 2.0
was, several, 2.0
several, times, 2.0
times, interrupted, 2.0
interrupted, by, 2.0
to, read, 2.0
read, off, 2.0
off, messages, 2.0
messages, and, 2.0
and, send, 2.0
send, replies, 2.0
Once, he, 2.0
to, stand, 2.0
stand, without, 2.0
without, the, 2.0
and, display, 2.0
display, a, 2.0
flag, as, 2.0
train, passed, 2.0
and, make, 2.0
make, some, 2.0
some, verbal, 2.0
verbal, communication, 2.0
communication, to, 2.0
the, driver, 2.0
In, the, 2.0
discharge, of, 2.0
his, duties, 2.0
duties, I, 2.0
I, observed, 2.0
observed, him, 2.0
be, remarkably, 2.0
remarkably, exact, 2.0
exact, and, 2.0
and, vigilant, 2.0
vigilant, breaking, 2.0
breaking, off, 2.0
off, his, 2.0
his, discourse, 2.0
discourse, at, 2.0
syllable, and, 2.0
and, remaining, 2.0
remaining, silent, 2.0
silent, until, 2.0
until, what, 2.0
do, was, 2.0
was, done, 2.0
In, a, 2.0
word, I, 2.0
have, set, 2.0
set, this, 2.0
this, man, 2.0
man, down, 2.0
down, as, 2.0
as, one, 2.0
safest, of, 2.0
men, to, 2.0
be, employed, 2.0
employed, in, 2.0
that, capacity, 2.0
capacity, but, 2.0
but, for, 2.0
circumstance, that, 2.0
that, while, 2.0
was, speaking, 2.0
speaking, to, 2.0
he, twice, 2.0
twice, broke, 2.0
broke, off, 2.0
off, with, 2.0
fallen, colour, 2.0
colour, turned, 2.0
turned, his, 2.0
face, towards, 2.0
bell, when, 2.0
ring, opened, 2.0
the, hut, 2.0
hut, which, 2.0
which, was, 2.0
was, kept, 2.0
kept, shut, 2.0
shut, to, 2.0
to, exclude, 2.0
exclude, the, 2.0
unhealthy, damp, 2.0
damp, and, 2.0
out, towards, 2.0
On, both, 2.0
both, of, 2.0
of, those, 2.0
those, occasions, 2.0
occasions, he, 2.0
he, came, 2.0
fire, with, 2.0
inexplicable, air, 2.0
air, upon, 2.0
him, which, 2.0
had, remarked, 2.0
remarked, without, 2.0
without, being, 2.0
being, able, 2.0
able, to, 2.0
to, define, 2.0
define, when, 2.0
were, so, 2.0
so, far, 2.0
far, asunder, 2.0
Said, I, 2.0
I, when, 2.0
I, rose, 2.0
to, leave, 2.0
leave, him, 2.0
him, You, 2.0
You, almost, 2.0
almost, make, 2.0
me, think, 2.0
think, that, 2.0
have, met, 2.0
met, with, 2.0
contented, man, 2.0
am, afraid, 2.0
afraid, I, 2.0
must, acknowledge, 2.0
acknowledge, that, 2.0
said, it, 2.0
it, to, 2.0
to, lead, 2.0
lead, him, 2.0
him, on, 2.0
I, believe, 2.0
believe, I, 2.0
be, so, 2.0
so, he, 2.0
rejoined, in, 2.0
voice, in, 2.0
first, spoken, 2.0
spoken, but, 2.0
troubled, sir, 2.0
sir, I, 2.0
He, would, 2.0
have, recalled, 2.0
recalled, the, 2.0
words, if, 2.0
had, said, 2.0
them, however, 2.0
however, and, 2.0
took, them, 2.0
them, up, 2.0
up, quickly, 2.0
With, what, 2.0
your, trouble, 2.0
is, very, 2.0
to, impart, 2.0
impart, sir, 2.0
very, very, 2.0
to, speak, 2.0
speak, of, 2.0
If, ever, 2.0
ever, you, 2.0
you, make, 2.0
me, another, 2.0
visit, I, 2.0
will, try, 2.0
try, to, 2.0
to, tell, 2.0
tell, you, 2.0
I, expressly, 2.0
expressly, intend, 2.0
intend, to, 2.0
make, you, 2.0
you, another, 2.0
Say, when, 2.0
when, shall, 2.0
shall, it, 2.0
it, be, 2.0
I, go, 2.0
go, off, 2.0
off, early, 2.0
early, in, 2.0
the, morning, 2.0
morning, and, 2.0
I, shall, 2.0
shall, be, 2.0
be, on, 2.0
again, at, 2.0
at, ten, 2.0
ten, to, 2.0
to, morrow, 2.0
morrow, night, 2.0
night, sir, 2.0
will, come, 2.0
come, at, 2.0
at, eleven, 2.0
He, thanked, 2.0
thanked, me, 2.0
and, went, 2.0
went, out, 2.0
out, at, 2.0
I'll, show, 2.0
show, my, 2.0
my, white, 2.0
light, sir, 2.0
his, peculiar, 2.0
peculiar, low, 2.0
voice, till, 2.0
till, you, 2.0
way, up, 2.0
When, you, 2.0
found, it, 2.0
it, don't, 2.0
you, are, 2.0
top, don't, 2.0
manner, seemed, 2.0
make, the, 2.0
the, place, 2.0
place, strike, 2.0
strike, colder, 2.0
colder, to, 2.0
said, no, 2.0
no, more, 2.0
than, Very, 2.0
Very, well, 2.0
down, to-morrow, 2.0
to-morrow, night, 2.0
night, don't, 2.0
Let, me, 2.0
me, ask, 2.0
ask, you, 2.0
you, a, 2.0
parting, question, 2.0
What, made, 2.0
made, you, 2.0
you, cry, 2.0
Heaven, knows, 2.0
knows, said, 2.0
I, cried, 2.0
cried, something, 2.0
something, to, 2.0
that, effect--""Not, 2.0
effect--""Not, to, 2.0
that, effect, 2.0
effect, sir, 2.0
Those, were, 2.0
the, very, 2.0
know, them, 2.0
them, well, 2.0
Admit, those, 2.0
those, were, 2.0
them, no, 2.0
no, doubt, 2.0
doubt, because, 2.0
because, I, 2.0
saw, you, 2.0
you, below, 2.0
For, no, 2.0
no, other, 2.0
What, other, 2.0
reason, could, 2.0
could, I, 2.0
I, possibly, 2.0
possibly, have, 2.0
You, had, 2.0
no, feeling, 2.0
that, they, 2.0
they, were, 2.0
were, conveyed, 2.0
conveyed, to, 2.0
you, in, 2.0
any, supernatural, 2.0
supernatural, way, 2.0
He, wished, 2.0
wished, me, 2.0
me, good-night, 2.0
good-night, and, 2.0
held, up, 2.0
up, his, 2.0
his, light, 2.0
walked, by, 2.0
down, Line, 2.0
Line, of, 2.0
of, rails, 2.0
rails, with, 2.0
very, disagreeable, 2.0
disagreeable, sensation, 2.0
sensation, of, 2.0
train, coming, 2.0
coming, behind, 2.0
behind, me, 2.0
me, until, 2.0
until, I, 2.0
was, easier, 2.0
easier, to, 2.0
to, mount, 2.0
mount, than, 2.0
than, to, 2.0
to, descend, 2.0
descend, and, 2.0
I, got, 2.0
got, back, 2.0
my, inn, 2.0
inn, without, 2.0
without, any, 2.0
any, adventure, 2.0
Punctual, to, 2.0
my, appointment, 2.0
appointment, I, 2.0
I, placed, 2.0
placed, my, 2.0
my, foot, 2.0
foot, on, 2.0
first, notch, 2.0
notch, of, 2.0
zigzag, next, 2.0
night, as, 2.0
distant, clocks, 2.0
clocks, were, 2.0
were, striking, 2.0
striking, eleven, 2.0
was, waiting, 2.0
me, at, 2.0
bottom, with, 2.0
his, white, 2.0
light, on, 2.0
not, called, 2.0
called, out, 2.0
out, I, 2.0
said, when, 2.0
we, came, 2.0
came, close, 2.0
close, together, 2.0
together, may, 2.0
I, speak, 2.0
speak, now, 2.0
By, all, 2.0
all, means, 2.0
means, sir, 2.0
Good-night, then, 2.0
then, and, 2.0
here's, my, 2.0
Good-night, sir, 2.0
sir, and, 2.0
here's, mine, 2.0
With, that, 2.0
that, we, 2.0
we, walked, 2.0
walked, side, 2.0
side, by, 2.0
by, side, 2.0
side, to, 2.0
box, entered, 2.0
entered, it, 2.0
it, closed, 2.0
closed, the, 2.0
have, made, 2.0
made, up, 2.0
mind, sir, 2.0
he, began, 2.0
began, bending, 2.0
bending, forward, 2.0
forward, as, 2.0
as, soon, 2.0
soon, as, 2.0
as, we, 2.0
were, seated, 2.0
seated, and, 2.0
and, speaking, 2.0
speaking, in, 2.0
tone, but, 2.0
above, a, 2.0
whisper, that, 2.0
you, shall, 2.0
shall, not, 2.0
have, to, 2.0
to, ask, 2.0
ask, me, 2.0
me, twice, 2.0
twice, what, 2.0
took, you, 2.0
you, for, 2.0
for, some, 2.0
else, yesterday, 2.0
That, troubles, 2.0
That, mistake, 2.0
That, some, 2.0
Who, is, 2.0
Like, me, 2.0
never, saw, 2.0
The, left, 2.0
left, arm, 2.0
across, the, 2.0
waved,--violently, waved, 2.0
This, way, 2.0
an, arm, 2.0
arm, gesticulating, 2.0
gesticulating, with, 2.0
utmost, passion, 2.0
vehemence, For, 2.0
One, moonlight, 2.0
moonlight, night, 2.0
night, said, 2.0
was, sitting, 2.0
sitting, here, 2.0
here, when, 2.0
voice, cry, 2.0
started, up, 2.0
up, looked, 2.0
from, that, 2.0
that, door, 2.0
saw, this, 2.0
this, Some, 2.0
Some, one, 2.0
else, standing, 2.0
standing, by, 2.0
tunnel, waving, 2.0
waving, as, 2.0
I, just, 2.0
just, now, 2.0
now, showed, 2.0
showed, you, 2.0
The, voice, 2.0
voice, seemed, 2.0
seemed, hoarse, 2.0
hoarse, with, 2.0
with, shouting, 2.0
shouting, and, 2.0
it, cried, 2.0
cried, Look, 2.0
And, then, 2.0
then, attain, 2.0
attain, Halloa, 2.0
I, caught, 2.0
caught, up, 2.0
lamp, turned, 2.0
turned, it, 2.0
it, on, 2.0
on, red, 2.0
red, and, 2.0
ran, towards, 2.0
the, figure, 2.0
figure, calling, 2.0
calling, What's, 2.0
What's, wrong, 2.0
What, has, 2.0
has, happened, 2.0
It, stood, 2.0
stood, just, 2.0
just, outside, 2.0
outside, the, 2.0
blackness, of, 2.0
I, advanced, 2.0
advanced, so, 2.0
so, close, 2.0
close, upon, 2.0
I, wondered, 2.0
wondered, at, 2.0
at, its, 2.0
its, keeping, 2.0
keeping, the, 2.0
the, sleeve, 2.0
across, its, 2.0
its, eyes, 2.0
ran, right, 2.0
right, up, 2.0
had, my, 2.0
hand, stretched, 2.0
stretched, out, 2.0
out, to, 2.0
to, pull, 2.0
pull, the, 2.0
sleeve, away, 2.0
away, when, 2.0
Into, the, 2.0
ran, on, 2.0
on, into, 2.0
tunnel, five, 2.0
five, hundred, 2.0
stopped, and, 2.0
held, my, 2.0
lamp, above, 2.0
above, my, 2.0
my, head, 2.0
figures, of, 2.0
measured, distance, 2.0
distance, and, 2.0
wet, stains, 2.0
stains, stealing, 2.0
stealing, down, 2.0
walls, and, 2.0
and, trickling, 2.0
trickling, through, 2.0
ran, out, 2.0
out, again, 2.0
again, faster, 2.0
faster, than, 2.0
run, in, 2.0
in, for, 2.0
mortal, abhorrence, 2.0
abhorrence, of, 2.0
place, upon, 2.0
all, round, 2.0
own, red, 2.0
went, up, 2.0
iron, ladder, 2.0
ladder, to, 2.0
gallery, atop, 2.0
atop, of, 2.0
ran, back, 2.0
back, here, 2.0
I, telegraphed, 2.0
telegraphed, both, 2.0
ways, An, 2.0
An, alarm, 2.0
alarm, has, 2.0
been, given, 2.0
Is, anything, 2.0
anything, wrong, 2.0
The, answer, 2.0
answer, came, 2.0
back, both, 2.0
ways, All, 2.0
All, well, 2.0
Resisting, the, 2.0
slow, touch, 2.0
touch, of, 2.0
frozen, finger, 2.0
finger, tracing, 2.0
tracing, out, 2.0
out, my, 2.0
my, spine, 2.0
spine, I, 2.0
I, showed, 2.0
showed, him, 2.0
him, how, 2.0
this, figure, 2.0
figure, must, 2.0
be, a, 2.0
deception, of, 2.0
his, sense, 2.0
sense, of, 2.0
of, sight, 2.0
and, how, 2.0
that, figures, 2.0
figures, originating, 2.0
originating, in, 2.0
in, disease, 2.0
disease, of, 2.0
delicate, nerves, 2.0
nerves, that, 2.0
that, minister, 2.0
minister, to, 2.0
functions, of, 2.0
the, eye, 2.0
eye, were, 2.0
were, known, 2.0
known, to, 2.0
have, often, 2.0
often, troubled, 2.0
troubled, patients, 2.0
patients, some, 2.0
some, of, 2.0
of, whom, 2.0
whom, had, 2.0
had, become, 2.0
become, conscious, 2.0
conscious, of, 2.0
of, their, 2.0
their, affliction, 2.0
affliction, and, 2.0
had, even, 2.0
even, proved, 2.0
proved, it, 2.0
by, experiments, 2.0
experiments, upon, 2.0
upon, themselves, 2.0
As, to, 2.0
to, an, 2.0
an, imaginary, 2.0
imaginary, cry, 2.0
cry, said, 2.0
do, but, 2.0
but, listen, 2.0
listen, for, 2.0
moment, to, 2.0
the, wind, 2.0
wind, in, 2.0
this, unnatural, 2.0
unnatural, valley, 2.0
valley, while, 2.0
while, we, 2.0
we, speak, 2.0
speak, so, 2.0
so, low, 2.0
low, and, 2.0
wild, harp, 2.0
harp, it, 2.0
it, makes, 2.0
makes, of, 2.0
telegraph, wires, 2.0
That, was, 2.0
all, very, 2.0
very, well, 2.0
well, he, 2.0
returned, after, 2.0
after, we, 2.0
we, had, 2.0
had, sat, 2.0
sat, listening, 2.0
while, and, 2.0
he, ought, 2.0
ought, to, 2.0
know, something, 2.0
something, of, 2.0
the, wires, 2.0
wires, he, 2.0
he, who, 2.0
who, so, 2.0
so, often, 2.0
often, passed, 2.0
passed, long, 2.0
long, winter, 2.0
winter, nights, 2.0
nights, there, 2.0
there, alone, 2.0
alone, and, 2.0
and, watching, 2.0
But, he, 2.0
would, beg, 2.0
beg, to, 2.0
asked, his, 2.0
pardon, and, 2.0
he, slowly, 2.0
slowly, added, 2.0
added, these, 2.0
these, words, 2.0
words, touching, 2.0
touching, my, 2.0
arm, Within, 2.0
Within, six, 2.0
six, hours, 2.0
hours, after, 2.0
after, the, 2.0
Appearance, the, 2.0
memorable, accident, 2.0
accident, on, 2.0
this, Line, 2.0
Line, happened, 2.0
happened, and, 2.0
and, within, 2.0
within, ten, 2.0
ten, hours, 2.0
hours, the, 2.0
the, dead, 2.0
dead, and, 2.0
and, wounded, 2.0
wounded, were, 2.0
were, brought, 2.0
brought, along, 2.0
along, through, 2.0
tunnel, over, 2.0
spot, where, 2.0
where, the, 2.0
figure, had, 2.0
had, stood, 2.0
A, disagreeable, 2.0
disagreeable, shudder, 2.0
shudder, crept, 2.0
crept, over, 2.0
over, me, 2.0
did, my, 2.0
my, best, 2.0
best, against, 2.0
against, it, 2.0
be, denied, 2.0
denied, I, 2.0
I, rejoined, 2.0
rejoined, that, 2.0
remarkable, coincidence, 2.0
coincidence, calculated, 2.0
calculated, deeply, 2.0
deeply, to, 2.0
to, impress, 2.0
impress, his, 2.0
But, it, 2.0
was, unquestionable, 2.0
unquestionable, that, 2.0
that, remarkable, 2.0
remarkable, coincidences, 2.0
coincidences, did, 2.0
did, continually, 2.0
continually, occur, 2.0
occur, and, 2.0
and, they, 2.0
they, must, 2.0
be, taken, 2.0
taken, into, 2.0
into, account, 2.0
account, in, 2.0
in, dealing, 2.0
dealing, with, 2.0
with, such, 2.0
Though, to, 2.0
be, sure, 2.0
must, admit, 2.0
admit, I, 2.0
I, added, 2.0
added, for, 2.0
I, thought, 2.0
thought, I, 2.0
was, going, 2.0
to, bring, 2.0
bring, the, 2.0
objection, to, 2.0
bear, upon, 2.0
me, men, 2.0
men, of, 2.0
of, common, 2.0
common, sense, 2.0
sense, did, 2.0
not, allow, 2.0
allow, much, 2.0
much, for, 2.0
for, coincidences, 2.0
coincidences, in, 2.0
ordinary, calculations, 2.0
calculations, of, 2.0
of, life, 2.0
He, again, 2.0
begged, to, 2.0
I, again, 2.0
begged, his, 2.0
pardon, for, 2.0
for, being, 2.0
being, betrayed, 2.0
betrayed, into, 2.0
into, interruptions, 2.0
This, he, 2.0
said, again, 2.0
again, laying, 2.0
laying, his, 2.0
hand, upon, 2.0
upon, my, 2.0
arm, and, 2.0
and, glancing, 2.0
glancing, over, 2.0
his, shoulder, 2.0
shoulder, with, 2.0
with, hollow, 2.0
hollow, eyes, 2.0
eyes, was, 2.0
just, a, 2.0
year, ago, 2.0
Six, or, 2.0
or, seven, 2.0
seven, months, 2.0
months, passed, 2.0
had, recovered, 2.0
recovered, from, 2.0
surprise, and, 2.0
and, shock, 2.0
shock, when, 2.0
when, one, 2.0
one, morning, 2.0
morning, as, 2.0
day, was, 2.0
was, breaking, 2.0
breaking, I, 2.0
I, standing, 2.0
door, looked, 2.0
looked, towards, 2.0
spectre, again, 2.0
He, stopped, 2.0
stopped, with, 2.0
fixed, look, 2.0
it, cry, 2.0
cry, out, 2.0
was, silent, 2.0
it, wave, 2.0
wave, its, 2.0
its, arm, 2.0
It, leaned, 2.0
leaned, against, 2.0
against, the, 2.0
shaft, of, 2.0
with, both, 2.0
both, hands, 2.0
hands, before, 2.0
before, the, 2.0
Like, this, 2.0
Once, more, 2.0
more, I, 2.0
was, an, 2.0
an, action, 2.0
of, mourning, 2.0
have, seen, 2.0
seen, such, 2.0
such, an, 2.0
attitude, in, 2.0
in, stone, 2.0
stone, figures, 2.0
figures, on, 2.0
on, tombs, 2.0
Did, you, 2.0
you, go, 2.0
go, up, 2.0
came, in, 2.0
in, and, 2.0
down, partly, 2.0
partly, to, 2.0
to, collect, 2.0
collect, my, 2.0
thoughts, partly, 2.0
partly, because, 2.0
because, it, 2.0
had, turned, 2.0
turned, me, 2.0
me, faint, 2.0
door, again, 2.0
again, daylight, 2.0
daylight, was, 2.0
was, above, 2.0
above, me, 2.0
ghost, was, 2.0
But, nothing, 2.0
nothing, followed, 2.0
Nothing, came, 2.0
came, of, 2.0
He, touched, 2.0
touched, me, 2.0
me, on, 2.0
arm, with, 2.0
his, forefinger, 2.0
forefinger, twice, 2.0
twice, or, 2.0
or, thrice, 2.0
thrice, giving, 2.0
giving, a, 2.0
ghastly, nod, 2.0
nod, each, 2.0
each, time:-"That, 2.0
time:-"That, very, 2.0
very, day, 2.0
day, as, 2.0
train, came, 2.0
I, noticed, 2.0
noticed, at, 2.0
carriage, window, 2.0
window, on, 2.0
my, side, 2.0
side, what, 2.0
what, looked, 2.0
looked, like, 2.0
like, a, 2.0
confusion, of, 2.0
of, hands, 2.0
hands, and, 2.0
and, heads, 2.0
heads, and, 2.0
and, something, 2.0
something, waved, 2.0
saw, it, 2.0
it, just, 2.0
just, in, 2.0
in, time, 2.0
to, signal, 2.0
signal, the, 2.0
driver, Stop, 2.0
He, shut, 2.0
shut, off, 2.0
off, and, 2.0
and, put, 2.0
put, his, 2.0
his, brake, 2.0
brake, on, 2.0
on, but, 2.0
but, the, 2.0
train, drifted, 2.0
drifted, past, 2.0
past, here, 2.0
here, a, 2.0
hundred, and, 2.0
and, fifty, 2.0
fifty, yards, 2.0
yards, or, 2.0
or, more, 2.0
ran, after, 2.0
after, it, 2.0
and, as, 2.0
went, along, 2.0
along, heard, 2.0
heard, terrible, 2.0
terrible, screams, 2.0
screams, and, 2.0
and, cries, 2.0
A, beautiful, 2.0
beautiful, young, 2.0
young, lady, 2.0
lady, had, 2.0
had, died, 2.0
died, instantaneously, 2.0
instantaneously, in, 2.0
in, one, 2.0
compartments, and, 2.0
was, brought, 2.0
brought, in, 2.0
in, here, 2.0
and, laid, 2.0
laid, down, 2.0
down, on, 2.0
this, floor, 2.0
floor, between, 2.0
Involuntarily, I, 2.0
I, pushed, 2.0
pushed, my, 2.0
my, chair, 2.0
chair, back, 2.0
boards, at, 2.0
at, which, 2.0
he, pointed, 2.0
to, himself, 2.0
True, sir, 2.0
Precisely, as, 2.0
happened, so, 2.0
so, I, 2.0
I, tell, 2.0
tell, it, 2.0
it, you, 2.0
could, think, 2.0
think, of, 2.0
of, nothing, 2.0
nothing, to, 2.0
say, to, 2.0
to, any, 2.0
any, purpose, 2.0
purpose, and, 2.0
my, mouth, 2.0
mouth, was, 2.0
was, very, 2.0
very, dry, 2.0
The, wind, 2.0
wires, took, 2.0
story, with, 2.0
long, lamenting, 2.0
lamenting, wail, 2.0
He, resumed, 2.0
Now, sir, 2.0
sir, mark, 2.0
mark, this, 2.0
this, and, 2.0
and, judge, 2.0
judge, how, 2.0
how, my, 2.0
mind, is, 2.0
The, spectre, 2.0
spectre, came, 2.0
back, a, 2.0
week, ago, 2.0
Ever, since, 2.0
since, it, 2.0
it, has, 2.0
been, there, 2.0
there, now, 2.0
and, again, 2.0
again, by, 2.0
by, fits, 2.0
fits, and, 2.0
and, starts, 2.0
does, it, 2.0
it, seem, 2.0
repeated, if, 2.0
if, possible, 2.0
possible, with, 2.0
with, increased, 2.0
increased, passion, 2.0
vehemence, that, 2.0
that, former, 2.0
former, gesticulation, 2.0
gesticulation, of, 2.0
of, For, 2.0
Then, he, 2.0
have, no, 2.0
no, peace, 2.0
peace, or, 2.0
or, rest, 2.0
rest, for, 2.0
It, calls, 2.0
calls, to, 2.0
for, many, 2.0
many, minutes, 2.0
minutes, together, 2.0
together, in, 2.0
an, agonised, 2.0
agonised, manner, 2.0
manner, Below, 2.0
It, stands, 2.0
stands, waving, 2.0
waving, to, 2.0
It, rings, 2.0
rings, my, 2.0
my, little, 2.0
little, bell--"I, 2.0
bell--"I, caught, 2.0
